ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG,CustomStdWidth,CustomStdHeight,CustomStdLength
10,2017,10,5,CNTRL,EWR,189598,0,0,0
7,2017,5,5,CNTRL,AMS,1744,100,156,120
11,2014,12,3,CNTRL,ONT,4,10,6,12
7,2015,4,18,CNTRL,KUB,33,1,1,1
7,2016,6,9,CNTRL,DLC,9460,0,0,0
9,2015,4,18,CNTRL,CKG,14,50,47,60
7,2015,11,18,CNTRL,CKG,127,100,75,120
13,2016,3,17,CNTRL,HOU,1,10,1,12
21,2017,7,17,CNTRL,HOU,1,9,2,11
10,2016,4,5,CNTRL,SIN,1,20,31,20
14,2015,12,3,CNTRL,ONT,1960,37,77,48
11,2015,7,9,CNTRL,SGN,14658,0,0,0
36,2017,11,18,CNTRL,CKG,5,14,34,45
8,2015,6,3,CNTRL,ONT,15,12,9,14
10,2017,7,4,CNTRL,RTM,11425,0,0,0
7,2016,3,3,CNTRL,ONT,7,10,6,12
10,2016,5,7,CNTRL,YYZ,2,25,20,31
10,2016,3,17,CNTRL,HOU,1,10,2,14
9,2016,10,5,CNTRL,SHA,4,45,13,62
7,2017,11,4,CNTRL,MTY,10050,122,120,102
10,2016,5,9,CNTRL,DLC,10571,0,0,0
9,2016,7,4,CNTRL,AMS,18881,100,136,120
8,2017,8,5,CNTRL,SHA,3,44,12,64
23,2017,3,7,CNTRL,YYZ,2,23,15,31
8,2015,9,3,CNTRL,STL,13605,40,24,48
8,2015,5,3,CNTRL,PHL,14114,42,51,49
9,2016,8,18,CNTRL,CKG,21,53,46,85
21,2015,7,9,CNTRL,SGF,22520,0,0,0
9,2016,11,5,CNTRL,SDF,569,39,44,47
7,2016,3,5,CNTRL,SHE,3000,40,30,50
7,2015,11,3,CNTRL,MIA,1049,42,56,47
10,2016,5,5,CNTRL,SIN,1,20,31,20
7,2015,2,3,CNTRL,ONT,4,10,6,12
9,2016,6,9,CNTRL,DLC,11540,0,0,0
13,2016,7,18,CNTRL,CKG,80,1,1,1
