ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG,commoditycode,PieceCt,ActualWeightUOM,RatedWeightUOM,DestSvcCenter,destSvcCenterCountry,DestTariffPt,OriginSvcCenter,OriginSvcCenterCountry,originTariffPt,CustomStdWidth,CustomStdHeight,CustomStdLength
7,2015,6,18,CNTRL,CKG,31,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2015,6,18,CNTRL,CKG,35,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,60,46,100
7,2015,6,18,CNTRL,CKG,39,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,60,47,100
7,2015,6,18,CNTRL,CKG,692,94KZ,250,KG,KG,ORD,US,ORD,CKG,CN,CKG,1,1,1
7,2015,6,18,CNTRL,CKG,692,94KZ,250,KG,KG,ORD,US,ORD,CKG,CN,CKG,100,117,120
7,2015,6,18,CNTRL,CKG,693,94KZ,250,KG,KG,ORD,US,ORD,CKG,CN,CKG,1,1,1
7,2015,6,18,CNTRL,CKG,693,94KZ,250,KG,KG,ORD,US,ORD,CKG,CN,CKG,100,117,120
7,2015,7,9,CNTRL,EWR,8695,OFN,10,LB,NULL,WAW,PL,WRO,EWR,US,EWR,0,0,0
7,2015,7,10,CNTRL,LON,14,84FB,1,KG,KG,OSL,NO,OSL,LON,GB,LON,52,43,57
7,2015,7,17,CNTRL,HKG,1,55GX,1,KG,KG,VCP,BR,VCP,HKG,HK,HKG,20,27,30
7,2015,7,17,CNTRL,HOU,1,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,12,12,14
7,2015,7,17,CNTRL,HOU,9,MS,1,LB,LB,YVR,CA,YVR,HOU,US,HOU,12,12,14
7,2015,7,17,CNTRL,HOU,11,MS,1,LB,LB,YVR,CA,YVR,HOU,US,HOU,12,12,14
7,2015,7,17,CNTRL,SFO,4,MS,1,LB,LB,YVR,CA,YVR,SFO,US,SFO,7,9,5
7,2015,7,17,CNTRL,SFO,13,MS,2,LB,LB,YYZ,CA,YYZ,SFO,US,SFO,7,9,5
7,2015,7,18,CNTRL,CKG,5,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2015,7,18,CNTRL,CKG,5,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,32,47
7,2015,7,18,CNTRL,CKG,7,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,33,51
7,2015,7,18,CNTRL,CKG,12,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,52,46,77
7,2015,7,18,CNTRL,CKG,32,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,52,46,77
7,2015,7,18,CNTRL,CKG,61,94KZ,20,KG,KG,ORD,US,ORD,CKG,CN,CKG,1,1,1
7,2015,7,18,CNTRL,CKG,61,94KZ,20,KG,KG,ORD,US,ORD,CKG,CN,CKG,100,46,120
7,2015,7,18,CNTRL,CKG,497,94KZ,250,KG,KG,CLT,US,CLT,CKG,CN,CKG,1,1,1
7,2015,7,18,CNTRL,CKG,497,94KZ,250,KG,KG,CLT,US,CLT,CKG,CN,CKG,100,118,120
