Dimension,ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG,commoditycode,PieceCt,ActualWeightUOM,RatedWeightUOM,DestSvcCenter,destSvcCenterCountry,DestTariffPt,OriginSvcCenter,OriginSvcCenterCountry,originTariffPt,ds,qwe,ewsdf,CustomStdlnrUOM,CustomStdWidth,CustomStdHeight,CustomStdHeight
1,10,2016,9,18,CNTRL,CKG,7,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,10,2016,9,18,CNTRL,CKG,7,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,10,2016,9,18,CNTRL,CKG,10,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
62271,10,2016,9,18,CNTRL,CKG,15,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,37,33,51,CM,37,33,51
207230,10,2016,9,18,CNTRL,CKG,28,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,53,46,85,CM,53,46,85
17732,10,2016,10,5,CNTRL,SHA,2,ECN,1,KG,KG,SEA,US,SEA,SHA,CN,SHA,31,11,52,CM,31,11,52
5161.92516,10,2016,10,17,CNTRL,SFO,2,MS,1,LB,LB,YYC,CA,YYC,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
8640,10,2016,10,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,6,30,48,CM,6,30,48
1,10,2016,10,18,CNTRL,CKG,15,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,10,2016,10,18,CNTRL,CKG,124,44CI,8,KG,KG,ONT,US,ONT,CKG,CN,CKG,1,1,1,CM,1,1,1
1620000,10,2016,10,18,CNTRL,CKG,124,44CI,8,KG,KG,ONT,US,ONT,CKG,CN,CKG,100,135,120,CM,100,135,120
813384,10,2016,11,5,CNTRL,AMS,2639,83SA,39,KG,KG,SDF,US,SDF,AMS,NL,AMS,88,79,117,CM,88,79,117
34560,10,2016,11,5,CNTRL,SHA,3,ECN,1,KG,KG,SEA,US,SEA,SHA,CN,SHA,45,12,64,CM,45,12,64
35685,10,2016,11,5,CNTRL,SHA,3,ECN,1,KG,KG,SEA,US,SEA,SHA,CN,SHA,45,13,61,CM,45,13,61
45120,10,2016,11,18,CNTRL,CKG,10,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,30,32,47,CM,30,32,47
1,10,2016,11,18,CNTRL,CKG,32,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,10,2016,11,18,CNTRL,CKG,294,44CI,18,KG,KG,ONT,US,ONT,CKG,CN,CKG,1,1,1,CM,1,1,1
17732,10,2016,12,5,CNTRL,SHA,1,ECN,1,KG,KG,SEA,US,SEA,SHA,CN,SHA,31,11,52,CM,31,11,52
84825,10,2016,12,5,CNTRL,SHA,5,ECN,1,KG,KG,SEA,US,SEA,SHA,CN,SHA,45,29,65,CM,45,29,65
0,10,2016,12,9,CNTRL,DLC,9243,OFN,40,KG,,LAX,US,LAX,DLC,CN,DLC,0,0,0,CM,0,0,0
2949.67152,10,2016,12,17,CNTRL,HOU,1,MS,1,KG,LB,YVR,CA,YVR,HOU,US,HOU,12,1,15,IN,30.48,2.54,38.1
65187.74059,10,2016,12,17,CNTRL,HOU,3,MS,1,KG,LB,YVR,CA,YVR,HOU,US,HOU,17,13,18,IN,43.18,33.02,45.72
33088,10,2016,12,18,CNTRL,CKG,7,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,22,32,47,CM,22,32,47
211735,10,2016,12,18,CNTRL,CKG,30,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,53,47,85,CM,53,47,85
1,10,2016,12,18,CNTRL,CKG,33,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
211735,10,2016,12,18,CNTRL,CKG,33,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,53,47,85,CM,53,47,85
1,10,2016,12,18,CNTRL,CKG,300,44CI,18,KG,KG,ONT,US,ONT,CKG,CN,CKG,1,1,1,CM,1,1,1
912000,10,2016,12,18,CNTRL,CKG,300,44CI,18,KG,KG,ONT,US,ONT,CKG,CN,CKG,100,76,120,CM,100,76,120
1608000,10,2016,12,18,CNTRL,CKG,300,44CI,18,KG,KG,ONT,US,ONT,CKG,CN,CKG,100,134,120,CM,100,134,120
1,10,2016,12,18,CNTRL,KUB,8,94KZ,2,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,1,1,1,CM,1,1,1
3244.638672,10,2017,1,17,CNTRL,HOU,1,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,9,2,11,IN,22.86,5.08,27.94
1,10,2017,1,18,CNTRL,CKG,26,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
8193.532,10,2017,2,7,CNTRL,PHX,2,5553,1,LB,KG,PRG,CZ,PRG,PHX,US,PHX,10,5,10,IN,25.4,12.7,25.4
8193.532,10,2017,2,7,CNTRL,PHX,4,5553,1,LB,KG,PRG,CZ,PRG,PHX,US,PHX,10,5,10,IN,25.4,12.7,25.4
65187.74059,10,2017,2,17,CNTRL,HOU,2,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,17,13,18,IN,43.18,33.02,45.72
1,10,2017,2,18,CNTRL,CKG,10,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,10,2017,2,18,CNTRL,CKG,12,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
10528,10,2017,3,18,CNTRL,CKG,3,94KZ,1,KG,KG,YVR,CA,YVR,CKG,CN,CKG,7,32,47,CM,7,32,47
22848,10,2017,3,18,CNTRL,CKG,7,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,14,34,48,CM,14,34,48
1,10,2017,3,18,CNTRL,CKG,9,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,10,2017,3,18,CNTRL,CKG,10,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,10,2017,3,18,CNTRL,CKG,11,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,10,2017,3,18,CNTRL,CKG,47,94KZ,15,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
720000,10,2017,3,18,CNTRL,CKG,64,94KZ,20,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,100,60,120,CM,100,60,120
1,10,2017,3,18,CNTRL,CKG,2888,94KZ,250,LB,KG,SEA,US,SEA,CKG,CN,CKG,1,1,1,CM,1,1,1
1224000,10,2017,3,18,CNTRL,CKG,2888,94KZ,250,LB,KG,SEA,US,SEA,CKG,CN,CKG,100,102,120,CM,100,102,120
16200,10,2017,3,18,CNTRL,HKG,1,62GQ,1,KG,KG,YYZ,CA,YYZ,HKG,HK,HKG,20,27,30,CM,20,27,30
0,10,2017,4,5,CNTRL,EWR,189598,OFN,20,LB,,RTM,NL,AMS,EWR,US,POU,0,0,0,CM,0,0,0
15600,10,2017,4,5,CNTRL,SHA,2,ECN,1,KG,KG,SEA,US,SEA,SHA,CN,SHA,30,10,52,CM,30,10,52
56043.75888,10,2017,4,17,CNTRL,ELP,7,MS,1,LB,LB,YYZ,CA,YYZ,ELP,US,ELP,15,12,19,IN,38.1,30.48,48.26
5161.92516,10,2017,4,17,CNTRL,SFO,2,MS,1,LB,LB,YYZ,CA,YYZ,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
10710,10,2017,4,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7,34,45,CM,7,34,45
21420,10,2017,4,18,CNTRL,CKG,5,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,14,34,45,CM,14,34,45
22848,10,2017,4,18,CNTRL,CKG,6,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,14,34,48,CM,14,34,48
1,10,2017,4,18,CNTRL,CKG,7,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,10,2017,4,18,CNTRL,CKG,30,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
211735,10,2017,4,18,CNTRL,CKG,31,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,53,47,85,CM,53,47,85
0,10,2017,5,4,CNTRL,RTM,22850,OFN,210,KG,,SIN,SG,SIN,RTM,NL,AMS,0,0,0,CM,0,0,0
25236.07856,10,2017,5,17,CNTRL,HOU,2,MS,1,KG,LB,YVR,CA,YVR,HOU,US,HOU,11,10,14,IN,27.94,25.4,35.56
1,10,2017,5,18,CNTRL,CKG,13,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,10,2017,5,18,CNTRL,CKG,891,94KZ,300,KG,KG,CVG,US,CVG,CKG,CN,CKG,1,1,1,CM,1,1,1
1260000,10,2017,5,18,CNTRL,CKG,891,94KZ,300,KG,KG,CVG,US,CVG,CKG,CN,CKG,100,105,120,CM,100,105,120
0,10,2017,6,5,CNTRL,EWR,189598,OFN,20,LB,,RTM,NL,AMS,EWR,US,POU,0,0,0,CM,0,0,0
7079.211648,10,2017,6,17,CNTRL,ELP,2,MS,1,LB,LB,YVR,CA,YVR,ELP,US,ELP,8,6,9,IN,20.32,15.24,22.86
3244.638672,10,2017,6,17,CNTRL,HOU,1,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,9,2,11,IN,22.86,5.08,27.94
25236.07856,10,2017,6,17,CNTRL,HOU,2,MS,1,KG,LB,YVR,CA,YVR,HOU,US,HOU,11,10,14,IN,27.94,25.4,35.56
1,10,2017,6,18,CNTRL,CKG,4,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,10,2017,6,18,CNTRL,CKG,13,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,10,2017,6,18,CNTRL,CKG,16,94KZ,5,KG,KG,YHZ,CA,YHZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,10,2017,6,18,CNTRL,CKG,23,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
0,10,2017,7,4,CNTRL,RTM,11425,OFN,105,KG,,SIN,SG,SIN,RTM,NL,AMS,0,0,0,CM,0,0,0
56043.75888,10,2017,7,17,CNTRL,ELP,7,MS,1,LB,LB,YYZ,CA,YYZ,ELP,US,ELP,15,12,19,IN,38.1,30.48,48.26
56043.75888,10,2017,7,17,CNTRL,ELP,9,MS,1,LB,LB,YYZ,CA,YYZ,ELP,US,ELP,15,12,19,IN,38.1,30.48,48.26
230074.3786,10,2017,7,17,CNTRL,ELP,183,MS,1,LB,LB,YYZ,CA,YYZ,ELP,US,ELP,24,15,39,IN,60.96,38.1,99.06
1,10,2017,7,18,CNTRL,CKG,15,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,10,2017,7,18,CNTRL,CKG,16,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,10,2017,7,18,CNTRL,CKG,29,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
33792,10,2017,8,5,CNTRL,SHA,9,ECN,3,KG,KG,SEA,US,SEA,SHA,CN,SHA,44,12,64,CM,44,12,64
32736,10,2017,8,5,CNTRL,SIN,2,9949,1,KG,KG,SYD,AU,SYD,SIN,SG,SIN,31,33,32,CM,31,33,32
0,10,2017,8,10,CNTRL,MNL,95700,OFN,6600,KG,,MAA,IN,MAA,MNL,PH,MNL,0,0,0,CM,0,0,0
2753.026752,10,2017,8,17,CNTRL,HOU,1,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,12,1,14,IN,30.48,2.54,35.56
1,10,2017,8,18,CNTRL,CKG,11,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,10,2017,9,18,CNTRL,CKG,4,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
21420,10,2017,9,18,CNTRL,CKG,5,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,14,34,45,CM,14,34,45
0,10,2017,10,5,CNTRL,EWR,189598,OFN,20,LB,,RTM,NL,AMS,EWR,US,POU,0,0,0,CM,0,0,0
33792,10,2017,10,5,CNTRL,SHA,9,ECN,3,KG,KG,SEA,US,SEA,SHA,CN,SHA,44,12,64,CM,44,12,64
2753.026752,10,2017,10,17,CNTRL,HOU,1,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,12,1,14,IN,30.48,2.54,35.56
65187.74059,10,2017,10,17,CNTRL,HOU,3,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,17,13,18,IN,43.18,33.02,45.72
65187.74059,10,2017,11,17,CNTRL,HOU,3,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,17,13,18,IN,43.18,33.02,45.72
1493280,10,2017,12,4,CNTRL,MTY,10050,ECN,30,KG,KG,RIC,US,RIC,MTY,MX,MTY,122,120,102,CM,122,120,102
529542,10,2017,12,7,CNTRL,BUH,79,ECN,1,KG,KG,SAO,BR,SAO,BUH,RO,BUH,73,78,93,CM,73,78,93
1769.802912,10,2017,12,17,CNTRL,HOU,1,MS,1,KG,LB,YVR,CA,YVR,HOU,US,HOU,9,1,12,IN,22.86,2.54,30.48
1769.802912,10,2017,12,17,CNTRL,HOU,1,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,9,1,12,IN,22.86,2.54,30.48
1,10,2017,12,18,CNTRL,CKG,8,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,10,2017,12,18,CNTRL,CKG,25,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
33792,10,2018,1,5,CNTRL,SHA,9,ECN,3,KG,KG,SEA,US,SEA,SHA,CN,SHA,44,12,64,CM,44,12,64
10710,10,2018,1,18,CNTRL,CKG,3,94KZ,1,KG,KG,YVR,CA,YVR,CKG,CN,CKG,7,34,45,CM,7,34,45
1,10,2018,1,18,CNTRL,CKG,7,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
53550,10,2018,1,18,CNTRL,CKG,12,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,35,34,45,CM,35,34,45
1,10,2018,1,18,CNTRL,CKG,25,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,10,2018,1,18,CNTRL,CKG,35,94KZ,15,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
16200,10,2018,1,18,CNTRL,HKG,1,62GQ,1,KG,KG,YYZ,CA,YYZ,HKG,HK,HKG,20,27,30,CM,20,27,30
5161.92516,10,2018,2,17,CNTRL,SFO,2,MS,1,LB,LB,YYZ,CA,YYZ,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
8640,10,2018,2,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,6,30,48,CM,6,30,48
1,10,2018,2,18,CNTRL,CKG,4,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
22848,10,2018,2,18,CNTRL,CKG,6,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,14,34,48,CM,14,34,48
1769.802912,11,2014,8,3,CNTRL,ONT,4,MS,1,LB,,MIA,US,MIA,ONT,US,ONT,9,1,12,IN,22.86,2.54,30.48
5161.92516,11,2014,8,17,CNTRL,SFO,2,MS,1,LB,LB,YYC,CA,YYC,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
10710,11,2014,8,18,CNTRL,CKG,4,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7,30,51,CM,7,30,51
1,11,2014,8,18,CNTRL,KUB,610,94KZ,250,KG,KG,EWR,US,EWR,KUB,CN,KUB,1,1,1,CM,1,1,1
1,11,2014,9,18,CNTRL,CKG,7,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
258000,11,2014,9,18,CNTRL,CKG,33,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,60,43,100,CM,60,43,100
16200,11,2014,9,18,CNTRL,HKG,1,62GQ,1,KG,KG,MIA,US,MIA,HKG,HK,HKG,20,27,30,CM,20,27,30
1,11,2014,9,18,CNTRL,KUB,10,94KZ,2,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,1,1,1,CM,1,1,1
33036.32102,11,2014,10,17,CNTRL,HOU,1,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,12,12,14,IN,30.48,30.48,35.56
5161.92516,11,2014,10,17,CNTRL,SFO,4,MS,1,LB,LB,YYC,CA,YYC,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
5161.92516,11,2014,10,17,CNTRL,SFO,31,MS,1,LB,LB,YYZ,CA,YYZ,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
11760,11,2014,10,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7,30,56,CM,7,30,56
1736448,11,2014,11,5,CNTRL,NUE,1693,ECN,18,KG,KG,PIT,US,PIT,NUE,DE,NUE,112,136,114,CM,112,136,114
2753.026752,11,2014,11,17,CNTRL,HOU,2,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,12,1,14,IN,30.48,2.54,35.56
5161.92516,11,2014,11,17,CNTRL,SFO,2,MS,1,LB,LB,YYC,CA,YYC,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
1,11,2014,11,18,CNTRL,CKG,5,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
22620,11,2014,11,18,CNTRL,CKG,6,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,29,52,CM,15,29,52
15680,11,2014,11,18,CNTRL,KUB,6,94KZ,1,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,8,35,56,CM,8,35,56
1,11,2014,11,18,CNTRL,KUB,12,94KZ,2,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,1,1,1,CM,1,1,1
1321452.841,11,2014,12,3,CNTRL,STL,14462,ECN,40,LB,KG,BRU,BE,BRU,STL,US,STL,40,42,48,IN,101.6,106.68,121.92
33036.32102,11,2015,1,17,CNTRL,HOU,4,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,12,12,14,IN,30.48,30.48,35.56
33036.32102,11,2015,1,17,CNTRL,HOU,9,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,12,12,14,IN,30.48,30.48,35.56
1560900,11,2015,2,5,CNTRL,HKG,960,ECN,10,KG,KG,MDT,US,ABE,HKG,HK,HKG,100,121,129,CM,100,121,129
251705.303,11,2015,2,17,CNTRL,HOU,225,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,24,16,40,IN,60.96,40.64,101.6
1,11,2015,2,18,CNTRL,CKG,15,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,11,2015,2,18,CNTRL,CKG,16,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,11,2015,2,18,CNTRL,CKG,834,94KZ,300,KG,KG,LAS,US,LAS,CKG,CN,CKG,1,1,1,CM,1,1,1
60000,11,2015,3,5,CNTRL,SHE,3000,GT36,5,KG,KG,PEK,CN,PEK,SHE,CN,SHE,40,30,50,CM,40,30,50
33036.32102,11,2015,3,17,CNTRL,HOU,4,MS,1,LB,LB,YVR,CA,YVR,HOU,US,HOU,12,12,14,IN,30.48,30.48,35.56
12936,11,2015,3,18,CNTRL,CKG,4,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7,33,56,CM,7,33,56
1,11,2015,3,18,CNTRL,CKG,2866,94KZ,200,LB,KG,IND,US,IND,CKG,CN,CKG,1,1,1,CM,1,1,1
1,11,2015,3,18,CNTRL,CKG,4299,94KZ,200,LB,KG,IND,US,IND,CKG,CN,CKG,1,1,1,CM,1,1,1
7350,11,2015,3,18,CNTRL,KUB,3,94KZ,1,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,7,25,42,CM,7,25,42
27900,11,2015,3,18,CNTRL,KUB,10,94KZ,2,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,15,31,60,CM,15,31,60
10192,11,2015,4,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,8,26,49,CM,8,26,49
25245,11,2015,4,18,CNTRL,CKG,7,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,33,51,CM,15,33,51
1284000,11,2015,4,18,CNTRL,CKG,367,44CI,107,KG,KG,SFO,US,SFO,CKG,CN,CKG,100,107,120,CM,100,107,120
25245,11,2015,5,18,CNTRL,CKG,7,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,33,51,CM,15,33,51
141000,11,2015,5,18,CNTRL,CKG,15,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,47,60,CM,50,47,60
16387.064,11,2015,6,7,CNTRL,PHX,9,ECN,1,LB,KG,BFS,GB,BFS,PHX,US,TUS,10,10,10,IN,25.4,25.4,25.4
33036.32102,11,2015,6,17,CNTRL,HOU,9,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,12,12,14,IN,30.48,30.48,35.56
5161.92516,11,2015,6,17,CNTRL,SFO,4,MS,1,LB,LB,YYZ,CA,YYZ,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
11648,11,2015,6,18,CNTRL,CKG,3,94KZ,1,KG,KG,YUL,CA,YUL,CKG,CN,CKG,7,32,52,CM,7,32,52
138000,11,2015,6,18,CNTRL,CKG,14,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,46,60,CM,50,46,60
1,11,2015,6,18,CNTRL,CKG,32,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,11,2015,6,18,CNTRL,CKG,19842,94KZ,800,LB,KG,IND,US,IND,CKG,CN,CKG,1,1,1,CM,1,1,1
1,11,2015,6,18,CNTRL,CKG,22046,94KZ,800,LB,KG,IND,US,IND,CKG,CN,CKG,1,1,1,CM,1,1,1
1,11,2015,6,18,CNTRL,KUB,3638,94KZ,250,LB,KG,RDU,US,RDU,KUB,CN,KUB,1,1,1,CM,1,1,1
0,11,2015,7,9,CNTRL,SGN,14658,OFN,42,KG,NULL,EWR,US,EWR,SGN,VN,SGN,0,0,0,CM,0,0,0
1,11,2015,7,18,CNTRL,CKG,6,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
24960,11,2015,7,18,CNTRL,CKG,6,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,32,52,CM,15,32,52
1,11,2015,7,18,CNTRL,CKG,34,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
16200,11,2015,7,18,CNTRL,HKG,1,62GQ,1,KG,KG,MIA,US,MIA,HKG,HK,HKG,20,27,30,CM,20,27,30
27720,11,2015,8,18,CNTRL,CKG,6,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,33,56,CM,15,33,56
25245,11,2015,8,18,CNTRL,CKG,7,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,33,51,CM,15,33,51
10904,11,2015,9,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,8,29,47,CM,8,29,47
22560,11,2015,9,18,CNTRL,CKG,6,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,32,47,CM,15,32,47
25245,11,2015,9,18,CNTRL,CKG,7,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,33,51,CM,15,33,51
1,11,2015,9,18,CNTRL,CKG,16,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
755115.9091,11,2015,10,3,CNTRL,STL,13605,ECN,41,LB,KG,BRU,BE,BRU,STL,US,STL,40,24,48,IN,101.6,60.96,121.92
33036.32102,11,2015,10,17,CNTRL,HOU,7,MS,1,LB,LB,YVR,CA,YVR,HOU,US,HOU,12,12,14,IN,30.48,30.48,35.56
62926.32576,11,2015,10,17,CNTRL,HOU,13,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,16,12,20,IN,40.64,30.48,50.8
24960,11,2015,10,18,CNTRL,CKG,6,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,32,52,CM,15,32,52
1,11,2015,10,18,CNTRL,CKG,15,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
62926.32576,11,2015,11,17,CNTRL,HOU,15,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,16,12,20,IN,40.64,30.48,50.8
1,11,2015,11,18,CNTRL,CKG,10,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
15000,11,2015,12,7,CNTRL,YYZ,9,MS,1,LB,LB,MDT,US,MDT,YYZ,CA,YYZ,25,20,30,CM,25,20,30
10904,11,2015,12,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,8,29,47,CM,8,29,47
1,11,2015,12,18,CNTRL,CKG,31,94KZ,10,KG,KG,ORD,US,ORD,CKG,CN,CKG,1,1,1,CM,1,1,1
1,11,2015,12,18,CNTRL,CKG,31,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
0,11,2016,1,9,CNTRL,BOS,3234,OFN,10,KG,,GLA,GB,LBA,BOS,US,BOS,0,0,0,CM,0,0,0
24960,11,2016,1,18,CNTRL,CKG,6,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,32,52,CM,15,32,52
184184,11,2016,1,18,CNTRL,CKG,31,94KZ,10,KG,KG,ORD,US,ORD,CKG,CN,CKG,52,46,77,CM,52,46,77
0,11,2016,2,9,CNTRL,DLC,10094,OFN,40,KG,,SFO,US,SFO,DLC,CN,DLC,0,0,0,CM,0,0,0
33036.32102,11,2016,2,17,CNTRL,HOU,7,MS,1,LB,LB,YVR,CA,YVR,HOU,US,HOU,12,12,14,IN,30.48,30.48,35.56
