Dimension,ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG,commoditycode,PieceCt,ActualWeightUOM,RatedWeightUOM,DestSvcCenter,destSvcCenterCountry,DestTariffPt,OriginSvcCenter,OriginSvcCenterCountry,originTariffPt,ds,qwe,ewsdf,CustomStdlnrUOM,CustomStdWidth,CustomStdHeight,CustomStdHeight
16200,7,2015,5,17,CNTRL,HKG,1,55GX,1,KG,KG,VCP,BR,VCP,HKG,HK,HKG,20,27,30,CM,20,27,30
1191564,7,2015,5,17,CNTRL,HKG,221,55GX,1,KG,KG,GDL,MX,GDL,HKG,HK,HKG,118,102,99,CM,118,102,99
33036.32102,7,2015,5,17,CNTRL,HOU,1,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,12,12,14,IN,30.48,30.48,35.56
62926.32576,7,2015,5,17,CNTRL,HOU,15,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,16,12,20,IN,40.64,30.48,50.8
1,7,2015,5,18,CNTRL,CKG,6,94KZ,2,KG,KG,YYC,CA,YYC,CKG,CN,CKG,1,1,1,CM,1,1,1
20445,7,2015,5,18,CNTRL,CKG,6,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,29,47,CM,15,29,47
138000,7,2015,5,18,CNTRL,CKG,13,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,46,60,CM,50,46,60
1,7,2015,5,18,CNTRL,CKG,30,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,7,2015,5,18,CNTRL,CKG,66,94KZ,20,KG,KG,ORD,US,ORD,CKG,CN,CKG,1,1,1,CM,1,1,1
1,7,2015,5,18,CNTRL,CKG,919,94KZ,200,KG,KG,ORD,US,ORD,CKG,CN,CKG,1,1,1,CM,1,1,1
1296000,7,2015,5,18,CNTRL,CKG,919,94KZ,200,KG,KG,ORD,US,ORD,CKG,CN,CKG,100,108,120,CM,100,108,120
1,7,2015,5,18,CNTRL,CKG,2646,94KZ,200,LB,KG,IND,US,IND,CKG,CN,CKG,1,1,1,CM,1,1,1
1,7,2015,5,18,CNTRL,KUB,12,94KZ,4,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,1,1,1,CM,1,1,1
1769.802912,7,2015,6,3,CNTRL,ONT,2,MS,1,LB,,MIA,US,MIA,ONT,US,ONT,9,1,12,IN,22.86,2.54,30.48
1896000,7,2015,6,5,CNTRL,AMS,1778,GT36,22,KG,KG,SDF,US,SDF,AMS,NL,AMS,100,158,120,CM,100,158,120
1872000,7,2015,6,5,CNTRL,AMS,2208,GT36,25,KG,KG,SDF,US,SDF,AMS,NL,AMS,100,156,120,CM,100,156,120
