ShipmentCount,MonthNumber
8,5
8,5
8,5
8,5
8,5
9,5
9,5
12,5
14,5
15,5
17,5
20,5
7,4
7,4
7,4
7,4
7,4
8,4
8,4
9,4
11,4
11,4
12,4
13,4
14,4
14,4
18,4
21,4
24,4
33,4
55,4
76,4
7,3
7,3
7,3
7,3
7,3
7,3
8,3
8,3
8,3
9,3
9,3
10,3
12,3
12,3
25,3
26,3
27,3
27,3
29,3
36,3
7,2
7,2
7,2
7,2
7,2
9,2
9,2
10,2
10,2
13,2
13,2
14,2
16,2
20,2
23,2
37,2
66,2
7,1
7,1
8,1
11,1
14,1
14,1
17,1
17,1
18,1
25,1
37,1
54,1
7,2
7,2
8,2
8,2
8,2
8,2
9,2
9,2
10,2
12,2
14,2
14,2
20,2
32,2
7,1
7,1
7,1
7,1
8,1
8,1
8,1
8,1
9,1
9,1
10,1
10,1
10,1
11,1
11,1
11,1
12,1
13,1
15,1
16,1
25,1
28,1
29,1
7,12
7,12
7,12
7,12
8,12
8,12
8,12
8,12
9,12
9,12
9,12
9,12
10,12
13,12
13,12
15,12
15,12
19,12
19,12
7,11
7,11
8,11
8,11
8,11
9,11
9,11
9,11
10,11
15,11
17,11
18,11
21,11
7,10
7,10
7,10
7,10
7,10
7,10
7,10
7,10
7,10
8,10
8,10
8,10
9,10
9,10
11,10
11,10
11,10
12,10
16,10
16,10
25,10
7,9
7,9
7,9
7,9
7,9
7,9
8,9
8,9
8,9
8,9
9,9
9,9
10,9
10,9
10,9
11,9
16,9
19,9
23,9
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,8
8,8
8,8
9,8
9,8
11,8
12,8
7,12
8,12
8,12
9,12
10,12
11,12
11,12
15,12
18,12
19,12
36,12
8,11
8,11
9,11
11,11
7,10
7,10
7,10
7,10
7,10
8,10
8,10
8,10
8,10
10,10
12,10
21,10
7,9
7,9
7,9
7,9
7,9
8,9
8,9
9,9
9,9
9,9
10,9
13,9
14,9
14,9
18,9
7,8
7,8
7,8
7,8
7,8
7,8
8,8
8,8
9,8
12,8
7,7
7,7
8,7
8,7
8,7
8,7
8,7
9,7
9,7
9,7
10,7
16,7
8,6
8,6
8,6
8,6
8,6
9,6
9,6
9,6
9,6
10,6
11,6
12,6
27,6
7,5
7,5
7,5
7,5
8,5
8,5
9,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
8,4
8,4
8,4
8,4
8,4
9,4
9,4
11,4
13,4
14,4
16,4
22,4
7,3
7,3
7,3
7,3
7,3
7,3
7,3
8,3
8,3
8,3
