Diff_Time,Stop_Actual_Sequence_Num,Postal_Code,Street_Num,District_Num
0.012200356,25,42223,2840,49
0.154500008,37,19454,5,33
0.008098602,133,38116,1262,44
0.028699875,43,37221,7036,44
0.141399384,20,11212,1622,20
0.039999962,20,37075,1020,44
0.049699783,18,79907,9411,12
0.006699562,19,75067,1081,12
0.04640007,29,33411,512,40
0.046700478,36,32266,255,40
0.168600082,14,21074,2320,33
0.262000084,52,47401,2872,49
0.068099976,41,6032,500,36
0.015599251,45,63401,3650,55
0.068600655,36,78504,7600,12
0.01499939,27,91210,3216,92
0.032799721,86,2920,1000,36
0.057500839,31,92868,20,92
0.055599213,15,79119,7401,12
0.033600807,14,38125,7539,44
0.02559948,64,76201,2710,12
0.011600494,32,29615,3935,45
0.024999619,63,91732,11912,92
0.060799599,32,35903,300,44
0.052499771,14,75090,4018,12
0.082799911,52,79936,2000,12
0.026399612,34,94806,3800,86
0.063099861,30,74464,409,12
0.021400452,23,7083,950,20
0.039999962,37,22603,251,32
0.01499939,6,92260,72840,92
0.046099663,15,19064,1250,33
0.209199905,29,60620,8300,46
0.04940033,15,67205,2413,55
0.012200356,16,90710,1685,92
0.059099197,11,44663,400,64
0.27120018,40,90745,214,92
0.218599319,33,43950,67800,64
0.096699715,48,19140,4229,33
0.044400215,38,76036,910,12
0.022999763,14,23456,2029,32
0.085299492,24,23113,11633,32
0.032699585,12,27909,103,45
0.049700737,38,8330,340,33
0.032200813,23,11763,700,20
0.022500038,24,34957,3086,40
0.025500298,16,73703,5503,12
0.041100502,13,37760,621,44
0.009200096,21,32605,6419,40
0.05189991,12,3561,562,36
0.112500191,19,31093,2929,45
0.002799988,22,39350,211,44
0.130000114,32,90650,13925,92
0.05450058,12,32266,255,40
0.141900063,29,40601,101,49
0.0291996,15,53916,106,56
0.022000313,39,84106,2263,95
0.054200172,9,37076,4469,44
0.189699173,21,43201,1611,64
0.274700165,34,24018,4314,32
0.04529953,40,17601,2040,32
0.01309967,22,36301,3255,44
0.011899948,14,40701,104,49
0.02670002,11,64801,323,55
0.098900795,37,87123,6600,95
0.008000374,6,79029,2025,12
0.23390007,21,81505,2424,95
0.013699532,37,1749,213,36
0.005899429,99,15904,500,32
0.009399414,12,11581,1120,20
0.108600616,20,11552,466,20
0.129699707,26,33761,27001,40
0.012498856,65,71854,131,55
0.008600235,17,23602,12551,32
0.028300285,24,30253,1806,45
0.011699677,11,11210,1556,20
0.067800522,21,30281,697,45
0.071399689,32,30538,92,45
0.016399384,23,27617,8301,45
0.135499954,15,97838,892,76
0.001700401,15,78573,4416,12
