YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG
2017,4,17,CNTRL,ELP,75
2017,3,17,CNTRL,ELP,176
2017,3,17,CNTRL,ELP,51
2017,2,17,CNTRL,HOU,10
2017,2,17,CNTRL,ELP,51
2017,2,17,CNTRL,HOU,1
2017,1,17,CNTRL,ELP,73
2017,1,17,CNTRL,ELP,212
2017,1,17,CNTRL,SIN,2
2017,1,17,CNTRL,SFO,7
2017,1,17,CNTRL,ELP,187
2017,1,17,CNTRL,HOU,10
2017,1,17,CNTRL,HOU,1
2018,1,17,CNTRL,SIN,2
2014,12,18,CNTRL,KUB,97
2014,12,18,CNTRL,CKG,152
2014,12,18,CNTRL,CKG,51
2014,12,18,CNTRL,KUB,35
2014,11,18,CNTRL,KUB,6
2014,10,18,CNTRL,CKG,110
2014,10,18,CNTRL,CKG,126
2014,10,18,CNTRL,CKG,67
2014,10,18,CNTRL,CKG,123
2014,10,18,CNTRL,CKG,34
2014,10,18,CNTRL,CKG,47
2014,9,18,CNTRL,CKG,97
2014,9,18,CNTRL,CKG,28
2014,9,18,CNTRL,CKG,35
2014,8,18,CNTRL,SHA,63
2014,8,18,CNTRL,KUB,33
2015,12,18,CNTRL,HKG,4
2015,11,18,CNTRL,CKG,104
2015,11,18,CNTRL,CKG,77
2015,11,18,CNTRL,CKG,621
2015,10,18,CNTRL,CKG,80
2015,10,18,CNTRL,CKG,8
2015,10,18,CNTRL,CKG,79
2015,9,18,CNTRL,HKG,3
2015,8,18,CNTRL,CKG,7937
2015,8,18,CNTRL,KUB,65
2015,7,18,CNTRL,KUB,76
2015,7,18,CNTRL,KUB,78
2015,6,18,CNTRL,CKG,95
2015,6,18,CNTRL,CKG,375
2015,5,18,CNTRL,CKG,136
2015,5,18,CNTRL,HKG,2
2015,4,18,CNTRL,CKG,119
2015,4,18,CNTRL,CKG,107
2015,4,18,CNTRL,KUB,4
2015,3,18,CNTRL,CKG,430
2015,3,18,CNTRL,CKG,169
2015,3,18,CNTRL,CKG,13
2015,2,18,CNTRL,CKG,26
2015,2,18,CNTRL,CKG,141
2015,2,18,CNTRL,CKG,21
2015,2,18,CNTRL,CKG,69
2016,11,18,CNTRL,CKG,70
2016,11,18,CNTRL,CKG,73
2016,11,18,CNTRL,CKG,7
2016,10,18,CNTRL,CKG,47
2016,8,18,CNTRL,KUB,29
2016,7,18,CNTRL,CKG,625
2016,7,18,CNTRL,CKG,175
2016,7,18,CNTRL,CKG,35
2016,7,18,CNTRL,CKG,33
2016,6,18,CNTRL,CKG,140
2016,6,18,CNTRL,CKG,14
2016,5,18,CNTRL,CKG,39
2016,4,18,CNTRL,CKG,518
2016,4,18,CNTRL,ELP,176
2016,4,18,CNTRL,ELP,216
2016,3,18,CNTRL,KUB,96
2016,3,18,CNTRL,CKG,622
2016,3,18,CNTRL,CKG,145
2016,3,18,CNTRL,KUB,4
2016,2,18,CNTRL,CKG,93
2016,2,18,CNTRL,KUB,35
2016,1,18,CNTRL,KUB,6
2016,1,18,CNTRL,CKG,56
2016,1,18,CNTRL,CKG,95
2017,12,18,CNTRL,CKG,238
2017,12,18,CNTRL,KUB,34
2017,11,18,CNTRL,CKG,108
2017,11,18,CNTRL,CKG,113
2017,10,18,CNTRL,CKG,151
2017,10,18,CNTRL,CKG,70
2017,10,18,CNTRL,CKG,7
2017,9,18,CNTRL,CKG,136
2017,9,18,CNTRL,CKG,128
2017,9,18,CNTRL,CKG,125
2017,7,18,CNTRL,CKG,195
2017,7,18,CNTRL,CKG,117
