ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG
7,2015,10,7,CNTRL,PEN,2
11,2017,4,5,CNTRL,CLT,11
10,2016,11,7,CNTRL,PEN,1
23,2014,11,18,CNTRL,CKG,90
7,2017,8,5,CNTRL,KUB,33
8,2015,12,17,CNTRL,HOU,5
8,2016,5,17,CNTRL,ELP,198
8,2014,10,7,CNTRL,SAN,2513
11,2015,4,18,CNTRL,CKG,269
9,2016,1,17,CNTRL,HOU,3
8,2015,12,18,CNTRL,CKG,157
21,2016,1,5,CNTRL,AMS,1
9,2017,2,3,CNTRL,ONT,1
8,2017,6,18,CNTRL,TPE,496
9,2016,3,5,CNTRL,SDF,7
26,2014,8,17,CNTRL,HOU,7
23,2017,12,18,CNTRL,CKG,76
23,2015,4,3,CNTRL,ONT,15
7,2015,12,5,CNTRL,SHE,98
7,2016,12,17,CNTRL,HOU,11
36,2016,7,18,CNTRL,CKG,33
8,2014,11,5,CNTRL,SIN,2
9,2017,2,17,CNTRL,ELP,15
7,2016,7,18,CNTRL,CKG,625
13,2015,4,5,CNTRL,SHE,1
15,2017,12,5,CNTRL,SIN,2
7,2016,3,5,CNTRL,SDF,487
8,2015,2,18,CNTRL,CKG,67
9,2017,4,17,CNTRL,ELP,95
10,2017,3,8,CNTRL,SLC,77
7,2017,5,5,CNTRL,SDF,613
12,2017,8,7,CNTRL,PEN,2
14,2017,11,18,CNTRL,CKG,94
10,2016,10,18,CNTRL,CKG,75
8,2017,2,18,CNTRL,NKG,291
11,2017,5,17,CNTRL,HOU,8
18,2017,6,18,CNTRL,CKG,66
55,2015,12,18,CNTRL,CKG,59
21,2016,12,5,CNTRL,SHA,5
7,2014,8,18,CNTRL,SHA,63
7,2014,10,5,CNTRL,SDF,7
8,2016,4,5,CNTRL,AMS,3
10,2017,3,17,CNTRL,HOU,8
12,2014,12,17,CNTRL,HOU,4
8,2015,2,8,CNTRL,ORD,163
7,2015,9,17,CNTRL,HOU,4
26,2016,3,17,CNTRL,HOU,4
7,2017,5,8,CNTRL,ORD,4
7,2015,11,4,CNTRL,SIN,39
8,2015,9,17,CNTRL,HOU,49
10,2015,1,17,CNTRL,HOU,35
19,2016,3,17,CNTRL,SIN,1
7,2016,8,7,CNTRL,PEN,8
9,2015,6,7,CNTRL,PEN,1
9,2015,11,7,CNTRL,YYZ,2
15,2015,1,18,CNTRL,CKG,113
8,2014,9,18,CNTRL,CKG,89
12,2017,3,18,CNTRL,KUB,41
7,2015,6,18,CNTRL,CKG,375
7,2015,1,8,CNTRL,ORD,331
7,2015,6,3,CNTRL,ONT,20
23,2017,7,5,CNTRL,SIN,2
10,2015,1,5,CNTRL,SIN,1
28,2015,9,5,CNTRL,AMS,1
19,2014,10,18,CNTRL,CKG,28
12,2015,9,18,CNTRL,CKG,45
17,2016,3,18,CNTRL,CKG,17
10,2016,12,17,CNTRL,ELP,66
10,2014,10,18,CNTRL,CKG,126
21,2017,9,5,CNTRL,SIN,1
8,2015,6,7,CNTRL,YYZ,4
7,2016,4,18,CNTRL,CKG,112
11,2014,9,5,CNTRL,AMS,42
9,2015,8,18,CNTRL,KUB,61
7,2017,8,5,CNTRL,SZX,1440
7,2016,3,17,CNTRL,HOU,32
16,2015,3,18,CNTRL,CKG,112
9,2017,11,17,CNTRL,HOU,18
9,2015,4,17,CNTRL,HOU,3
10,2015,7,17,CNTRL,SFO,9
33,2017,9,17,CNTRL,HOU,3
22,2016,9,17,CNTRL,ELP,2
42,2015,2,18,CNTRL,CKG,62
8,2016,5,7,CNTRL,PHX,2
23,2015,1,17,CNTRL,HOU,1
7,2015,3,5,CNTRL,AMS,6
10,2015,1,7,CNTRL,YYZ,22
7,2016,7,17,CNTRL,ELP,126
7,2016,12,5,CNTRL,MIL,240
11,2017,3,18,CNTRL,CKG,137
83,2016,11,5,CNTRL,SHA,2
9,2016,11,18,CNTRL,CKG,271
14,2015,12,5,CNTRL,SHE,3000
18,2015,4,3,CNTRL,STL,13605
22,2015,7,18,CNTRL,CKG,52
8,2015,9,7,CNTRL,SAN,661
11,2014,10,17,CNTRL,HOU,7
