ShipmentCount,YearNumber,MonthNumber,upsid,OriginLocCode,DestLocCode,StandardWeightInKG
7,2014,9,5,CNTRL,SHE,91
8,2014,9,5,CNTRL,AMS,5
8,2014,9,5,CNTRL,AMS,56
8,2014,9,5,CNTRL,AMS,77
8,2014,9,5,CNTRL,AMS,101
8,2014,9,5,CNTRL,SDF,2
8,2014,9,5,CNTRL,SDF,606
9,2014,9,5,CNTRL,AMS,10
10,2014,9,5,CNTRL,SDF,728
11,2014,9,5,CNTRL,AMS,6
11,2014,9,5,CNTRL,AMS,29
11,2014,9,5,CNTRL,AMS,42
11,2014,9,5,CNTRL,AMS,60
11,2014,9,5,CNTRL,SIN,1
11,2014,9,5,CNTRL,SIN,3
12,2014,9,5,CNTRL,AMS,4
12,2014,9,5,CNTRL,AMS,7
12,2014,9,5,CNTRL,AMS,15
12,2014,9,5,CNTRL,SDF,4
12,2014,9,5,CNTRL,SHE,3000
13,2014,9,5,CNTRL,AMS,2
13,2014,9,5,CNTRL,SIN,2
15,2014,9,5,CNTRL,AMS,3
18,2014,9,5,CNTRL,SDF,496
26,2014,9,5,CNTRL,AMS,1
7,2014,8,5,CNTRL,AMS,4
7,2014,8,5,CNTRL,AMS,20
7,2014,8,5,CNTRL,AMS,48
7,2014,8,5,CNTRL,SDF,4
7,2014,8,5,CNTRL,SIN,3
8,2014,8,5,CNTRL,SDF,507
11,2014,8,5,CNTRL,SDF,7
11,2014,8,5,CNTRL,SHE,92
12,2014,8,5,CNTRL,AMS,2
12,2014,8,5,CNTRL,SHE,3000
12,2014,8,5,CNTRL,SIN,1
13,2014,8,5,CNTRL,AMS,3
16,2014,8,5,CNTRL,AMS,1
17,2014,8,5,CNTRL,SDF,496
18,2014,8,5,CNTRL,SHE,200
7,2015,12,5,CNTRL,AMS,4
7,2015,12,5,CNTRL,AMS,12
7,2015,12,5,CNTRL,AMS,15
7,2015,12,5,CNTRL,SHE,97
7,2015,12,5,CNTRL,SHE,98
9,2015,12,5,CNTRL,SHE,96
10,2015,12,5,CNTRL,SIN,2
13,2015,12,5,CNTRL,SIN,4
14,2015,12,5,CNTRL,SHE,3000
15,2015,12,5,CNTRL,SIN,3
16,2015,12,5,CNTRL,SDF,606
18,2015,12,5,CNTRL,SDF,496
19,2015,12,5,CNTRL,AMS,2
19,2015,12,5,CNTRL,SIN,1
21,2015,12,5,CNTRL,AMS,1
7,2015,11,5,CNTRL,SDF,4
7,2015,11,5,CNTRL,SDF,485
7,2015,11,5,CNTRL,SDF,606
8,2015,11,5,CNTRL,SDF,496
13,2015,11,5,CNTRL,SHE,3000
14,2015,11,5,CNTRL,AMS,2
14,2015,11,5,CNTRL,SIN,1
14,2015,11,5,CNTRL,SIN,2
16,2015,11,5,CNTRL,AMS,1
17,2015,11,5,CNTRL,SIN,3
19,2015,11,5,CNTRL,SIN,4
7,2015,10,5,CNTRL,AMS,4
7,2015,10,5,CNTRL,CLT,7
9,2015,10,5,CNTRL,SIN,5
9,2015,10,5,CNTRL,SZX,9557
11,2015,10,5,CNTRL,SDF,606
12,2015,10,5,CNTRL,SDF,485
13,2015,10,5,CNTRL,AMS,3
14,2015,10,5,CNTRL,SIN,4
15,2015,10,5,CNTRL,AMS,2
20,2015,10,5,CNTRL,SDF,496
25,2015,10,5,CNTRL,AMS,1
26,2015,10,5,CNTRL,SIN,2
33,2015,10,5,CNTRL,SIN,3
46,2015,10,5,CNTRL,SIN,1
7,2015,9,5,CNTRL,SHE,88
7,2015,9,5,CNTRL,SHE,100
7,2015,9,5,CNTRL,SIN,3
7,2015,9,5,CNTRL,SIN,4
8,2015,9,5,CNTRL,AMS,32
9,2015,9,5,CNTRL,AMS,5
9,2015,9,5,CNTRL,AMS,8
9,2015,9,5,CNTRL,SIN,2
10,2015,9,5,CNTRL,AMS,3
10,2015,9,5,CNTRL,AMS,4
