Dimension,ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG,commoditycode,PieceCt,ActualWeightUOM,RatedWeightUOM,DestSvcCenter,destSvcCenterCountry,DestTariffPt,OriginSvcCenter,OriginSvcCenterCountry,originTariffPt,ds,qwe,ewsdf,CustomStdlnrUOM,CustomStdWidth,CustomStdHeight,CustomStdHeight.1
1.0,15,2015,6,18,CNTRL,CKG,6,94KZ,2,KG,KG,YYC,CA,YYC,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
9541.0,7,2014,11,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7.0,29.0,47.0,CM,7.0,29.0,47.0
33036.321019999996,21,2015,7,17,CNTRL,HOU,4,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,12.0,12.0,14.0,IN,30.48,30.48,35.56
1.0,20,2016,10,18,CNTRL,CKG,90,94KZ,35,KG,KG,SAC,US,SAC,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
1416000.0,7,2016,7,18,CNTRL,CKG,627,94KZ,300,KG,KG,CLT,US,CLT,CKG,CN,CKG,100.0,118.0,120.0,CM,100.0,118.0,120.0
5161.92516,21,2015,9,17,CNTRL,SFO,4,MS,1,LB,LB,YYZ,CA,YYZ,SFO,US,SFO,7.0,9.0,5.0,IN,17.78,22.86,12.7
1.0,8,2018,1,18,CNTRL,CKG,47,94KZ,20,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
1464000.0,13,2014,9,18,CNTRL,SHA,17637,94KZ,800,LB,KG,IND,US,IND,SHA,CN,SHA,100.0,122.0,120.0,CM,100.0,122.0,120.0
1702402.918,8,2015,5,3,CNTRL,PHL,14114,ECN,27,LB,KG,BRU,BE,BRU,PHL,US,PHL,42.0,51.0,48.5,IN,106.68,129.54,123.19
17732.0,9,2017,4,5,CNTRL,SHA,2,ECN,1,KG,KG,SEA,US,SEA,SHA,CN,SHA,31.0,11.0,52.0,CM,31.0,11.0,52.0
16200.0,9,2016,9,18,CNTRL,HKG,1,62GQ,1,KG,KG,YYZ,CA,YYZ,HKG,HK,HKG,20.0,27.0,30.0,CM,20.0,27.0,30.0
16200.0,7,2015,5,17,CNTRL,HKG,1,55GX,1,KG,KG,VCP,BR,VCP,HKG,HK,HKG,20.0,27.0,30.0,CM,20.0,27.0,30.0
1.0,11,2016,12,18,CNTRL,CKG,30,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
1.0,10,2015,1,18,CNTRL,CKG,519,94KZ,250,KG,KG,CLT,US,CLT,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
11781.0,13,2016,8,18,CNTRL,CKG,4,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7.0,33.0,51.0,CM,7.0,33.0,51.0
7079.211648,30,2017,6,17,CNTRL,ELP,2,MS,1,LB,LB,YYZ,CA,YYZ,ELP,US,ELP,8.0,6.0,9.0,IN,20.32,15.24,22.86
15500.0,13,2016,12,7,CNTRL,YYZ,2,MS,1,KG,LB,MDT,US,MDT,YYZ,CA,YYZ,25.0,20.0,31.0,CM,25.0,20.0,31.0
1.0,10,2016,2,18,CNTRL,CKG,32,94KZ,10,KG,KG,ORD,US,ORD,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
165856.0,8,2017,8,5,CNTRL,SHA,13,ECN,1,KG,KG,AMS,NL,AMS,SHA,CN,SHA,71.0,32.0,73.0,CM,71.0,32.0,73.0
1.0,54,2016,9,18,CNTRL,NKG,336,94KZ,16,KG,KG,ONT,US,ONT,NKG,CN,WUH,1.0,1.0,1.0,CM,1.0,1.0,1.0
5161.92516,7,2016,2,17,CNTRL,SFO,2,MS,1,LB,LB,YYC,CA,YYC,SFO,US,SFO,7.0,9.0,5.0,IN,17.78,22.86,12.7
1.0,16,2017,10,18,CNTRL,CKG,11,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
10192.0,8,2015,9,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,8.0,26.0,49.0,CM,8.0,26.0,49.0
1.0,8,2018,1,18,CNTRL,CKG,14,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
45120.0,17,2016,8,18,CNTRL,CKG,10,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,30.0,32.0,47.0,CM,30.0,32.0,47.0
5161.92516,10,2015,12,17,CNTRL,SFO,2,MS,1,LB,LB,YVR,CA,YVR,SFO,US,SFO,7.0,9.0,5.0,IN,17.78,22.86,12.7
3539.605824,7,2018,1,17,CNTRL,HOU,1,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,9.0,2.0,12.0,IN,22.86,5.08,30.48
10528.0,76,2016,5,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7.0,32.0,47.0,CM,7.0,32.0,47.0
