ShipmentCount,YearNumber,MonthNumber,upsid,OriginLocCode,DestLocCode,StandardWeightInKG
19,2017,4,18,CNTRL,CKG,65
7,2016,7,17,CNTRL,ELP,126
7,2015,11,18,CNTRL,CKG,147
16,2015,6,17,CNTRL,HOU,22
7,2017,2,5,CNTRL,CLT,22
8,2015,1,18,CNTRL,KUB,32
56,2015,4,17,CNTRL,HOU,7
8,2015,1,18,CNTRL,CKG,157
30,2017,7,18,CNTRL,CKG,9
49,2016,4,18,CNTRL,CKG,36
9,2016,6,17,CNTRL,ELP,49
15,2015,3,18,CNTRL,CKG,94
29,2017,1,18,CNTRL,CKG,44
10,2016,10,18,CNTRL,CKG,75
21,2017,6,18,CNTRL,CKG,648
10,2015,3,5,CNTRL,AMS,3
16,2018,2,18,CNTRL,KUB,6
16,2015,9,18,CNTRL,CKG,62
32,2017,8,18,CNTRL,CKG,24
36,2018,2,18,CNTRL,CKG,26
7,2015,2,18,CNTRL,CKG,118
8,2015,1,18,CNTRL,CKG,118
9,2016,9,18,CNTRL,HKG,4
9,2017,11,17,CNTRL,HOU,15
13,2015,2,17,CNTRL,HOU,31
7,2017,4,18,CNTRL,KUB,370
29,2015,6,18,CNTRL,KUB,6
23,2017,6,18,CNTRL,CKG,41
7,2015,3,18,CNTRL,CKG,234
12,2017,10,18,CNTRL,KUB,8
16,2017,12,18,CNTRL,CKG,120
7,2018,2,18,CNTRL,CKG,89
11,2016,7,18,CNTRL,CKG,102
42,2014,8,18,CNTRL,HKG,1
8,2018,1,18,CNTRL,CKG,135
13,2015,8,17,CNTRL,HOU,2
16,2017,1,18,CNTRL,KUB,6
10,2016,5,9,CNTRL,DLC,10571
8,2016,9,18,CNTRL,CKG,128
7,2017,8,5,CNTRL,KUB,9
12,2018,1,17,CNTRL,HOU,8
7,2017,11,18,CNTRL,CKG,128
15,2015,9,18,CNTRL,CKG,27
8,2016,4,18,CNTRL,KUB,35
8,2016,11,17,CNTRL,ELP,53
13,2016,11,18,CNTRL,KUB,56
18,2015,11,18,CNTRL,CKG,51
31,2014,12,17,CNTRL,HOU,11
8,2015,11,18,CNTRL,CKG,140
7,2017,2,7,CNTRL,YYZ,18
9,2017,9,3,CNTRL,ONT,1
12,2014,10,18,CNTRL,KUB,59
21,2017,2,18,CNTRL,CKG,65
21,2014,10,17,CNTRL,HOU,15
7,2017,3,17,CNTRL,HOU,27
8,2016,5,9,CNTRL,BOS,1
10,2015,2,18,CNTRL,CKG,44
7,2015,12,18,CNTRL,CKG,211
9,2017,2,18,CNTRL,CKG,123
11,2015,1,17,CNTRL,HOU,154
9,2015,7,18,CNTRL,CKG,216
101,2014,12,17,CNTRL,SFO,2
9,2014,9,17,CNTRL,HOU,77
9,2014,11,18,CNTRL,KUB,11
9,2016,6,18,CNTRL,CKG,133
8,2015,6,18,CNTRL,CKG,254
22,2015,4,7,CNTRL,SAN,331
14,2018,2,18,CNTRL,CKG,115
7,2014,12,18,CNTRL,CKG,602
