ShipmentCount,YearNumber,MonthNumber,upsid,OriginLocCode,DestLocCode,StandardWeightInKG
7,2016,6,17,CNTRL,ELP,112
11,2017,8,18,CNTRL,CKG,129
20,2017,12,18,CNTRL,CKG,53
15,2017,12,18,CNTRL,CKG,119
10,2017,8,18,CNTRL,CKG,159
31,2015,11,18,CNTRL,CKG,29
30,2017,9,18,CNTRL,KUB,4
27,2016,8,5,CNTRL,SHA,3
51,2016,5,18,CNTRL,CKG,30
7,2017,1,18,CNTRL,KUB,30
20,2017,10,18,CNTRL,CKG,86
187,2016,9,18,CNTRL,CKG,3
13,2014,12,18,CNTRL,CKG,114
9,2015,8,18,CNTRL,CKG,110
7,2014,12,5,CNTRL,AMS,15
34,2016,3,18,CNTRL,CKG,45
8,2017,3,18,CNTRL,CKG,146
52,2017,4,17,CNTRL,ELP,9
8,2015,8,8,CNTRL,ORD,194
63,2017,11,18,CNTRL,CKG,2
7,2016,3,18,CNTRL,CKG,106
9,2015,8,18,CNTRL,CKG,158
20,2016,7,18,CNTRL,CKG,115
11,2017,5,18,CNTRL,CKG,96
15,2015,11,18,CNTRL,CKG,50
18,2015,4,18,CNTRL,CKG,48
12,2015,11,18,CNTRL,CKG,102
55,2014,8,18,CNTRL,CKG,3
38,2014,10,17,CNTRL,HOU,9
13,2018,2,18,CNTRL,CKG,62
12,2017,6,18,CNTRL,CKG,94
18,2014,12,18,CNTRL,CKG,148
15,2017,8,17,CNTRL,ELP,44
9,2017,2,18,CNTRL,CKG,17
22,2017,12,18,CNTRL,CKG,65
14,2017,7,18,CNTRL,CKG,157
28,2018,1,18,CNTRL,CKG,4
15,2017,8,18,CNTRL,KUB,6
7,2018,2,18,CNTRL,CKG,166
63,2017,3,17,CNTRL,HOU,3
19,2014,10,18,CNTRL,CKG,43
7,2015,4,18,CNTRL,KUB,86
9,2017,1,7,CNTRL,MKC,11
10,2017,12,5,CNTRL,SDF,611
17,2015,11,18,CNTRL,CKG,81
20,2016,4,18,CNTRL,CKG,60
10,2015,3,5,CNTRL,AMS,3
14,2015,9,7,CNTRL,PHX,2
17,2017,2,18,CNTRL,CKG,74
21,2014,10,17,CNTRL,HOU,15
20,2017,11,18,CNTRL,CKG,59
54,2017,1,5,CNTRL,SHA,3
21,2015,8,18,CNTRL,HKG,2
87,2017,6,18,CNTRL,CKG,5
7,2016,1,5,CNTRL,SDF,9
22,2016,1,18,CNTRL,CKG,59
9,2017,2,18,CNTRL,CKG,167
11,2016,5,18,CNTRL,CKG,109
8,2016,4,18,CNTRL,KUB,48
8,2016,11,18,CNTRL,CKG,297
15,2017,9,18,CNTRL,CKG,108
51,2016,6,18,CNTRL,CKG,51
9,2016,10,18,CNTRL,CKG,112
8,2017,7,18,CNTRL,CKG,379
15,2017,4,18,CNTRL,CKG,120
12,2014,10,18,CNTRL,CKG,79
14,2014,10,18,CNTRL,CKG,88
9,2014,8,17,CNTRL,PRG,7
8,2014,10,5,CNTRL,AMS,4
11,2015,2,18,CNTRL,CKG,91
22,2014,9,17,CNTRL,HOU,66
7,2016,9,18,CNTRL,KUB,58
7,2016,5,17,CNTRL,ELP,117
10,2017,3,17,CNTRL,HOU,8
